run_id,accuracy,params
1,2885.8503127023714,"{'model_type': np.str_('ridge'), 'alpha': 0.3821242771211056}"
2,3472.0669656205278,"{'model_type': np.str_('gbm'), 'n_estimators': 203, 'learning_rate': 0.17313470918955903, 'max_depth': 5, 'subsample': 0.8849460117589978, 'min_samples_split': 7}"
3,5315.064188922826,"{'model_type': np.str_('ridge'), 'alpha': 283.0011891507228}"
4,4254.393564900832,"{'model_type': np.str_('ridge'), 'alpha': 7.481093509910973}"
5,2918.5409563961584,"{'model_type': np.str_('ridge'), 'alpha': 0.5047383777870861}"
6,4861.484706805962,"{'model_type': np.str_('ridge'), 'alpha': 22.207387828851264}"
7,2881.6317394034427,"{'model_type': np.str_('lasso'), 'alpha': 0.007531006252104398}"
8,5018.168653319544,"{'model_type': np.str_('ridge'), 'alpha': 34.41481585839453}"
9,3226.930125171489,"{'model_type': np.str_('gbm'), 'n_estimators': 163, 'learning_rate': 0.07030526325033502, 'max_depth': 4, 'subsample': 0.8393120399956393, 'min_samples_split': 4}"
10,2800.872713712613,"{'model_type': np.str_('gbm'), 'n_estimators': 160, 'learning_rate': 0.04920082765683155, 'max_depth': 2, 'subsample': 0.8618857975836824, 'min_samples_split': 8}"
11,2898.716305904827,"{'model_type': np.str_('lasso'), 'alpha': 0.0003821715169868022}"
12,2855.6920764154506,"{'model_type': np.str_('ridge'), 'alpha': 0.20907364341391427}"
13,2830.0400021473943,"{'model_type': np.str_('lasso'), 'alpha': 0.042760306825190865}"
14,2958.6076292299076,"{'model_type': np.str_('ridge'), 'alpha': 0.6366761598077794}"
15,5361.533457238513,"{'model_type': np.str_('lasso'), 'alpha': 5.041792798559181}"
16,5076.381820064946,"{'model_type': np.str_('ridge'), 'alpha': 42.363145562487354}"
17,3197.9309608653225,"{'model_type': np.str_('gbm'), 'n_estimators': 127, 'learning_rate': 0.11231713780114816, 'max_depth': 3, 'subsample': 0.9400704272676272, 'min_samples_split': 4}"
18,3437.129264151436,"{'model_type': np.str_('gbm'), 'n_estimators': 282, 'learning_rate': 0.09988103067571609, 'max_depth': 3, 'subsample': 0.9493151858208378, 'min_samples_split': 6}"
19,2872.7504194096646,"{'model_type': np.str_('ridge'), 'alpha': 0.030006350871621894}"
20,5347.69936497621,"{'model_type': np.str_('ridge'), 'alpha': 961.1305354704461}"
21,4317.113818202764,"{'model_type': np.str_('ridge'), 'alpha': 8.214605189681281}"
22,4977.502673547046,"{'model_type': np.str_('lasso'), 'alpha': 1.976691068270336}"
23,2882.8317448244784,"{'model_type': np.str_('ridge'), 'alpha': 0.009267738959726358}"
24,3655.9092327308563,"{'model_type': np.str_('gbm'), 'n_estimators': 268, 'learning_rate': 0.16790877032774132, 'max_depth': 2, 'subsample': 0.9353191527281156, 'min_samples_split': 9}"
25,2899.205324607848,"{'model_type': np.str_('lasso'), 'alpha': 0.0002545692478039706}"
26,2853.732123723743,"{'model_type': np.str_('gbm'), 'n_estimators': 124, 'learning_rate': 0.05112258869900741, 'max_depth': 3, 'subsample': 0.9403886377916336, 'min_samples_split': 4}"
27,2853.86307908436,"{'model_type': np.str_('ridge'), 'alpha': 0.18125562453818686}"
28,3107.848726344665,"{'model_type': np.str_('lasso'), 'alpha': 0.7101603529394744}"
29,2886.6887238490262,"{'model_type': np.str_('lasso'), 'alpha': 0.003983636887224181}"
30,3476.095537869902,"{'model_type': np.str_('gbm'), 'n_estimators': 160, 'learning_rate': 0.06999268363086539, 'max_depth': 5, 'subsample': 0.999053570436506, 'min_samples_split': 4}"
31,2873.8094796414293,"{'model_type': np.str_('ridge'), 'alpha': 0.027213393992223184}"
32,2898.248259048203,"{'model_type': np.str_('lasso'), 'alpha': 0.0005054217454517068}"
33,2845.9030505086043,"{'model_type': np.str_('lasso'), 'alpha': 0.031217874388815983}"
34,2800.2449848918486,"{'model_type': np.str_('gbm'), 'n_estimators': 100, 'learning_rate': 0.0904991339715118, 'max_depth': 2, 'subsample': 0.9537260471149525, 'min_samples_split': 2}"
35,2856.7934265243302,"{'model_type': np.str_('lasso'), 'alpha': 0.02410722396249044}"
36,2877.068958000802,"{'model_type': np.str_('ridge'), 'alpha': 0.01943644138511833}"
37,2799.5995907918664,"{'model_type': np.str_('lasso'), 'alpha': 0.1297666520709501}"
